PageName,VisualName,MeasureName
Assignment 2,columnChart,NetPriceSum
Assignment 3,columnChart,TotalQuantitySold
Assignment 4,columnChart,Total Number of Orders
Assignment 6,columnChart,Sales Amount
Assignment 7,columnChart,Discount %
Assignment 7,columnChart,Discount %
Assignment 8,columnChart,Max Discount %
Assignment 9,card,Total Sales for selected color
Assignment 13,card,Total Sales For HA And Computer
Assignment 14,columnChart,Sales Amount
Assignment 15,columnChart,YoY%
Assignment 16,tableEx,Sales Amount
Assignment 16,tableEx,SalesYTD
